NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
LONDRINA,44,SORAYA VIEIRA THRONICKE,1870
CAPELA,44,SORAYA VIEIRA THRONICKE,110
PACATUBA,44,SORAYA VIEIRA THRONICKE,241
BAURU,44,SORAYA VIEIRA THRONICKE,1068
ITAMARAJU,44,SORAYA VIEIRA THRONICKE,278
PIRAQUARA,44,SORAYA VIEIRA THRONICKE,385
TAUÁ,44,SORAYA VIEIRA THRONICKE,147
IGREJINHA,44,SORAYA VIEIRA THRONICKE,76
GRANJA,44,SORAYA VIEIRA THRONICKE,139
PEDRALVA,44,SORAYA VIEIRA THRONICKE,44
MARINGÁ,44,SORAYA VIEIRA THRONICKE,1118
PAIÇANDU,44,SORAYA VIEIRA THRONICKE,145
MARA ROSA,44,SORAYA VIEIRA THRONICKE,39
UBERLÂNDIA,44,SORAYA VIEIRA THRONICKE,1597
SÃO BERNARDO DO CAMPO,44,SORAYA VIEIRA THRONICKE,2211
ITAQUAQUECETUBA,44,SORAYA VIEIRA THRONICKE,1547
TAUBATÉ,44,SORAYA VIEIRA THRONICKE,998
TIBAGI,44,SORAYA VIEIRA THRONICKE,66
CONDE,44,SORAYA VIEIRA THRONICKE,222
ALAGOINHAS,44,SORAYA VIEIRA THRONICKE,690
RIBEIRÃO PRETO,44,SORAYA VIEIRA THRONICKE,1855
PINDAMONHANGABA,44,SORAYA VIEIRA THRONICKE,754
BARRA DO PIRAÍ,44,SORAYA VIEIRA THRONICKE,246
CABO FRIO,44,SORAYA VIEIRA THRONICKE,467
BANZAÊ,44,SORAYA VIEIRA THRONICKE,75
SANTA SALETE,44,SORAYA VIEIRA THRONICKE,5
ITAPACI,44,SORAYA VIEIRA THRONICKE,84
MORRO REUTER,44,SORAYA VIEIRA THRONICKE,13
SANTO ANDRÉ,44,SORAYA VIEIRA THRONICKE,2504
SAÚDE,44,SORAYA VIEIRA THRONICKE,64
POÇOS DE CALDAS,44,SORAYA VIEIRA THRONICKE,310
LEME,44,SORAYA VIEIRA THRONICKE,647
PARANAPANEMA,44,SORAYA VIEIRA THRONICKE,25
ITAPURANGA,44,SORAYA VIEIRA THRONICKE,113
PEDRO DE TOLEDO,44,SORAYA VIEIRA THRONICKE,37
TATUÍ,44,SORAYA VIEIRA THRONICKE,322
FEIRA GRANDE,44,SORAYA VIEIRA THRONICKE,63
FLORIANÓPOLIS,44,SORAYA VIEIRA THRONICKE,1822
MORRO AGUDO,44,SORAYA VIEIRA THRONICKE,92
BELO ORIENTE,44,SORAYA VIEIRA THRONICKE,40
SEABRA,44,SORAYA VIEIRA THRONICKE,132
RIO VERDE,44,SORAYA VIEIRA THRONICKE,700
TRINDADE,44,SORAYA VIEIRA THRONICKE,833
IPIRÁ,44,SORAYA VIEIRA THRONICKE,257
IPOJUCA,44,SORAYA VIEIRA THRONICKE,305
ARMAÇÃO DOS BÚZIOS,44,SORAYA VIEIRA THRONICKE,68
GOIATUBA,44,SORAYA VIEIRA THRONICKE,142
GUARUJÁ,44,SORAYA VIEIRA THRONICKE,1058
OSASCO,44,SORAYA VIEIRA THRONICKE,2712
JOINVILLE,44,SORAYA VIEIRA THRONICKE,1505
FREI PAULO,44,SORAYA VIEIRA THRONICKE,19
RIO PIRACICABA,44,SORAYA VIEIRA THRONICKE,35
PAULÍNIA,44,SORAYA VIEIRA THRONICKE,332
SÃO JOSÉ DOS CAMPOS,44,SORAYA VIEIRA THRONICKE,2254
