NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
PIRAÍ DO SUL,21,SOFIA PADUA MANZANO,7
PIRASSUNUNGA,21,SOFIA PADUA MANZANO,21
CABO DE SANTO AGOSTINHO,21,SOFIA PADUA MANZANO,46
NOSSA SENHORA DO SOCORRO,21,SOFIA PADUA MANZANO,17
PLANALTINA,21,SOFIA PADUA MANZANO,12
LONDRINA,21,SOFIA PADUA MANZANO,188
JOÃO PESSOA,21,SOFIA PADUA MANZANO,179
TÓQUIO,21,SOFIA PADUA MANZANO,62
MOGI DAS CRUZES,21,SOFIA PADUA MANZANO,150
REMÍGIO,21,SOFIA PADUA MANZANO,3
GOIÂNIA,21,SOFIA PADUA MANZANO,344
CIANORTE,21,SOFIA PADUA MANZANO,16
CATANDUVA,21,SOFIA PADUA MANZANO,42
MILÃO,21,SOFIA PADUA MANZANO,14
SABARÁ,21,SOFIA PADUA MANZANO,34
VITÓRIA DA CONQUISTA,21,SOFIA PADUA MANZANO,103
RODEIO,21,SOFIA PADUA MANZANO,2
GRAJAÚ,21,SOFIA PADUA MANZANO,7
GLÓRIA DO GOITÁ,21,SOFIA PADUA MANZANO,3
CANÁPOLIS,21,SOFIA PADUA MANZANO,5
COSTA MARQUES,21,SOFIA PADUA MANZANO,1
ORLEANS,21,SOFIA PADUA MANZANO,2
OSASCO,21,SOFIA PADUA MANZANO,313
SANTA CRUZ DO CAPIBARIBE,21,SOFIA PADUA MANZANO,7
MARAU,21,SOFIA PADUA MANZANO,8
SANTANA DO IPANEMA,21,SOFIA PADUA MANZANO,5
PALMÁCIA,21,SOFIA PADUA MANZANO,1
MAGÉ,21,SOFIA PADUA MANZANO,45
RIO VERDE,21,SOFIA PADUA MANZANO,23
MARINGÁ,21,SOFIA PADUA MANZANO,162
RIO CLARO,21,SOFIA PADUA MANZANO,62
ESPÍRITO SANTO DO PINHAL,21,SOFIA PADUA MANZANO,10
CONTAGEM,21,SOFIA PADUA MANZANO,172
CÁCERES,21,SOFIA PADUA MANZANO,9
CIPOTÂNEA,21,SOFIA PADUA MANZANO,2
RAFARD,21,SOFIA PADUA MANZANO,3
PEDERNEIRAS,21,SOFIA PADUA MANZANO,4
IJUÍ,21,SOFIA PADUA MANZANO,7
NOVA ESPERANÇA,21,SOFIA PADUA MANZANO,6
JACAREÍ,21,SOFIA PADUA MANZANO,78
INDAIATUBA,21,SOFIA PADUA MANZANO,90
PALHOÇA,21,SOFIA PADUA MANZANO,54
MONGAGUÁ,21,SOFIA PADUA MANZANO,8
PONTAL DO PARANÁ,21,SOFIA PADUA MANZANO,6
PARAÍSO DO TOCANTINS,21,SOFIA PADUA MANZANO,4
ANASTÁCIO,21,SOFIA PADUA MANZANO,2
TERESINA,21,SOFIA PADUA MANZANO,153
PITANGUI,21,SOFIA PADUA MANZANO,3
SARANDI,21,SOFIA PADUA MANZANO,28
PÃO DE AÇÚCAR,21,SOFIA PADUA MANZANO,5
GRANJA,21,SOFIA PADUA MANZANO,10
PARAISÓPOLIS,21,SOFIA PADUA MANZANO,7
ROCHEDO DE MINAS,21,SOFIA PADUA MANZANO,2
TAILÂNDIA,21,SOFIA PADUA MANZANO,11
PRAIA GRANDE,21,SOFIA PADUA MANZANO,99
TIETÊ,21,SOFIA PADUA MANZANO,11
JAGUARAÇU,21,SOFIA PADUA MANZANO,1
JAÍBA,21,SOFIA PADUA MANZANO,3
CAMPOS DOS GOYTACAZES,21,SOFIA PADUA MANZANO,121
MONTES CLAROS,21,SOFIA PADUA MANZANO,56
PELOTAS,21,SOFIA PADUA MANZANO,108
NATAL,21,SOFIA PADUA MANZANO,226
MOSSORÓ,21,SOFIA PADUA MANZANO,47
ARCOS,21,SOFIA PADUA MANZANO,7
ÁGUAS LINDAS DE GOIÁS,21,SOFIA PADUA MANZANO,23
APARECIDA DE GOIÂNIA,21,SOFIA PADUA MANZANO,82
PETRÓPOLIS,21,SOFIA PADUA MANZANO,98
PARNAMIRIM,21,SOFIA PADUA MANZANO,57
AMERICANA,21,SOFIA PADUA MANZANO,93
ANANINDEUA,21,SOFIA PADUA MANZANO,77
PLANALTO,21,SOFIA PADUA MANZANO,12
VIÇOSA,21,SOFIA PADUA MANZANO,47
PEDRA PRETA,21,SOFIA PADUA MANZANO,4
CASTRO,21,SOFIA PADUA MANZANO,9
RANCHARIA,21,SOFIA PADUA MANZANO,10
SANTA ISABEL,21,SOFIA PADUA MANZANO,25
NOVO HORIZONTE,21,SOFIA PADUA MANZANO,9
ASTORGA,21,SOFIA PADUA MANZANO,8
VERTENTE DO LÉRIO,21,SOFIA PADUA MANZANO,4
SÃO MANUEL,21,SOFIA PADUA MANZANO,12
IÇARA,21,SOFIA PADUA MANZANO,6
MAR DE ESPANHA,21,SOFIA PADUA MANZANO,3
CAMPOS DE JÚLIO,21,SOFIA PADUA MANZANO,1
PIRAÍ,21,SOFIA PADUA MANZANO,8
FOZ DO IGUAÇU,21,SOFIA PADUA MANZANO,99
MARACAJU,21,SOFIA PADUA MANZANO,3
VILA VELHA,21,SOFIA PADUA MANZANO,125
ESPÍRITO SANTO DO TURVO,21,SOFIA PADUA MANZANO,1
BOCA DA MATA,21,SOFIA PADUA MANZANO,2
SANTA INÊS,21,SOFIA PADUA MANZANO,11
IRAQUARA,21,SOFIA PADUA MANZANO,4
AFUÁ,21,SOFIA PADUA MANZANO,6
JUCURUTU,21,SOFIA PADUA MANZANO,5
SÃO MATEUS DO SUL,21,SOFIA PADUA MANZANO,11
ARAÇATUBA,21,SOFIA PADUA MANZANO,43
BOA VISTA,21,SOFIA PADUA MANZANO,46
EMBU-GUAÇU,21,SOFIA PADUA MANZANO,28
SÃO JOÃO DAS DUAS PONTES,21,SOFIA PADUA MANZANO,2
LUZIÂNIA,21,SOFIA PADUA MANZANO,28
LONDRES,21,SOFIA PADUA MANZANO,14
VANCOUVER,21,SOFIA PADUA MANZANO,6
MADRI,21,SOFIA PADUA MANZANO,23
FRANKFURT,21,SOFIA PADUA MANZANO,8
ARAPONGAS,21,SOFIA PADUA MANZANO,18
BOM JESUS DAS SELVAS,21,SOFIA PADUA MANZANO,4
CANINDÉ,21,SOFIA PADUA MANZANO,11
SANTA BÁRBARA D OESTE,21,SOFIA PADUA MANZANO,58
POÇOS DE CALDAS,21,SOFIA PADUA MANZANO,18
BARRA MANSA,21,SOFIA PADUA MANZANO,25
VOLTA REDONDA,21,SOFIA PADUA MANZANO,78
CANOAS,21,SOFIA PADUA MANZANO,123
CAMPINAS,21,SOFIA PADUA MANZANO,494
IGREJINHA,21,SOFIA PADUA MANZANO,6
CORONEL MURTA,21,SOFIA PADUA MANZANO,1
TAUÁ,21,SOFIA PADUA MANZANO,19
TREMEMBÉ,21,SOFIA PADUA MANZANO,6
MIRANDÓPOLIS,21,SOFIA PADUA MANZANO,6
