NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
SERRA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,69
SANTA BRANCA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
SÃO GABRIEL DO OESTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
HORIZONTINA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
CAMPOS SALES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
SÃO LUÍS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,389
RECIFE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,222
VARGINHA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,24
RIBEIRÃO PRETO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,94
TERESINA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,126
ITAJAÍ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,36
JOÃO MONLEVADE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,16
CÂNDIDO DE ABREU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,4
BENTO GONÇALVES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,11
SANTA MARIA DAS BARREIRAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
MACAPÁ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,116
SANTA CRUZ DO SUL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,32
ARACAJU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,304
FÁTIMA DO SUL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
JACUNDÁ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,5
SÃO JOSÉ DE RIBAMAR,16,VERA LUCIA PEREIRA DA SILVA SALGADO,38
GLORINHA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
ANGICAL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,5
CAMARAGIBE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,23
FORTALEZA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,284
HIDROLÂNDIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
CARIACICA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,39
CURITIBA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,343
NOSSA SENHORA DO SOCORRO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,75
NOVA FÁTIMA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
LIMA DUARTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
ANANINDEUA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,104
TAQUARUSSU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
CONGONHAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,30
JUÍNA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,6
LINHARES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,14
SANTO ANTÔNIO DO MONTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
CORNÉLIO PROCÓPIO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,5
BETIM,16,VERA LUCIA PEREIRA DA SILVA SALGADO,58
LIMA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
BEIRUTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,24
SUCUPIRA DO NORTE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
CAMPO GRANDE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,103
SABARÁ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,22
PORTO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,18
LAGUNA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,7
JOSÉ BONIFÁCIO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
NOVA IGUAÇU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,113
JARU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,4
CAMPO NOVO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
PARACURU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
RIO GRANDE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,19
AXIXÁ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
OLHO D ÁGUA DAS FLORES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,7
MURICI,16,VERA LUCIA PEREIRA DA SILVA SALGADO,5
CACHOEIRO DE ITAPEMIRIM,16,VERA LUCIA PEREIRA DA SILVA SALGADO,29
PORTO ALEGRE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,343
CASTELO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,7
CARIDADE,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
CAXIAS DO SUL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,61
BOA VENTURA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
TUCURUÍ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,10
TRAIRI,16,VERA LUCIA PEREIRA DA SILVA SALGADO,9
TRAMANDAÍ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,7
SARANDI,16,VERA LUCIA PEREIRA DA SILVA SALGADO,8
JUCÁS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
CASSILÂNDIA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
GOVERNADOR VALADARES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,28
PETRÓPOLIS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,46
PORTO VELHO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,56
PARAUAPEBAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,28
RAFAEL JAMBEIRO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
PALHOÇA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,36
SUMARÉ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,40
PINHAIS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,19
SUZANO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,59
LIMEIRA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,23
SÃO GONÇALO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,120
LANDRI SALES,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
LONDRINA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,70
POMBOS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,4
COLINAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
PELOTAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,42
UBATÃ,16,VERA LUCIA PEREIRA DA SILVA SALGADO,2
RIO DAS OSTRAS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,22
VITÓRIA DE SANTO ANTÃO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,14
NOVA VIÇOSA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
CONTAGEM,16,VERA LUCIA PEREIRA DA SILVA SALGADO,150
SANTO ANTÔNIO DE JESUS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,14
JANDIRA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,21
IVINHEMA,16,VERA LUCIA PEREIRA DA SILVA SALGADO,3
NATAL,16,VERA LUCIA PEREIRA DA SILVA SALGADO,164
MOJU,16,VERA LUCIA PEREIRA DA SILVA SALGADO,8
CABO FRIO,16,VERA LUCIA PEREIRA DA SILVA SALGADO,25
CORTÊS,16,VERA LUCIA PEREIRA DA SILVA SALGADO,1
