NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
CAMPINA GRANDE,14,KELMON LUIS DA SILVA SOUZA,163
APIACÁ,14,KELMON LUIS DA SILVA SOUZA,1
GARANHUNS,14,KELMON LUIS DA SILVA SOUZA,51
PINHAIS,14,KELMON LUIS DA SILVA SOUZA,65
ARARI,14,KELMON LUIS DA SILVA SOUZA,15
RECIFE,14,KELMON LUIS DA SILVA SOUZA,560
NOVA LACERDA,14,KELMON LUIS DA SILVA SOUZA,8
TIMBÉ DO SUL,14,KELMON LUIS DA SILVA SOUZA,5
IBIRITÉ,14,KELMON LUIS DA SILVA SOUZA,53
SÃO JOSÉ DOS PINHAIS,14,KELMON LUIS DA SILVA SOUZA,148
ALTO TAQUARI,14,KELMON LUIS DA SILVA SOUZA,4
IBIÚNA,14,KELMON LUIS DA SILVA SOUZA,46
CASTANHEIRA,14,KELMON LUIS DA SILVA SOUZA,11
CACHOEIRINHA,14,KELMON LUIS DA SILVA SOUZA,51
SUZANO,14,KELMON LUIS DA SILVA SOUZA,127
AROEIRAS DO ITAIM,14,KELMON LUIS DA SILVA SOUZA,1
CAPINZAL DO NORTE,14,KELMON LUIS DA SILVA SOUZA,14
CURUÁ,14,KELMON LUIS DA SILVA SOUZA,2
IRITUIA,14,KELMON LUIS DA SILVA SOUZA,9
APUCARANA,14,KELMON LUIS DA SILVA SOUZA,64
PEDREIRAS,14,KELMON LUIS DA SILVA SOUZA,20
IMPERATRIZ,14,KELMON LUIS DA SILVA SOUZA,127
DIAMANTINO,14,KELMON LUIS DA SILVA SOUZA,14
ARCOVERDE,14,KELMON LUIS DA SILVA SOUZA,16
SÃO JOSÉ DO EGITO,14,KELMON LUIS DA SILVA SOUZA,11
BARREIRA,14,KELMON LUIS DA SILVA SOUZA,7
CAROLINA,14,KELMON LUIS DA SILVA SOUZA,18
BARRA DO GARÇAS,14,KELMON LUIS DA SILVA SOUZA,45
SOBRAL,14,KELMON LUIS DA SILVA SOUZA,56
CAMETÁ,14,KELMON LUIS DA SILVA SOUZA,34
DOM ELISEU,14,KELMON LUIS DA SILVA SOUZA,11
SANTA MARIA,14,KELMON LUIS DA SILVA SOUZA,81
CAMPO GRANDE,14,KELMON LUIS DA SILVA SOUZA,465
VILA VELHA,14,KELMON LUIS DA SILVA SOUZA,198
AFONSO CLÁUDIO,14,KELMON LUIS DA SILVA SOUZA,20
JACIARA,14,KELMON LUIS DA SILVA SOUZA,30
PIRAPEMAS,14,KELMON LUIS DA SILVA SOUZA,26
POUSO ALEGRE,14,KELMON LUIS DA SILVA SOUZA,59
BOM JARDIM,14,KELMON LUIS DA SILVA SOUZA,46
SÃO FRANCISCO DE ASSIS,14,KELMON LUIS DA SILVA SOUZA,12
SANTA MARIA DO PARÁ,14,KELMON LUIS DA SILVA SOUZA,15
ITATIBA,14,KELMON LUIS DA SILVA SOUZA,45
VACARIA,14,KELMON LUIS DA SILVA SOUZA,32
FAZENDA RIO GRANDE,14,KELMON LUIS DA SILVA SOUZA,49
TERESINA,14,KELMON LUIS DA SILVA SOUZA,237
BUÍQUE,14,KELMON LUIS DA SILVA SOUZA,23
ARAPIRACA,14,KELMON LUIS DA SILVA SOUZA,226
SATUBA,14,KELMON LUIS DA SILVA SOUZA,17
PARAUAPEBAS,14,KELMON LUIS DA SILVA SOUZA,59
NANUQUE,14,KELMON LUIS DA SILVA SOUZA,9
PRESIDENTE MÉDICI,14,KELMON LUIS DA SILVA SOUZA,13
FEIRA GRANDE,14,KELMON LUIS DA SILVA SOUZA,12
PORTO VELHO,14,KELMON LUIS DA SILVA SOUZA,309
MARAGOGI,14,KELMON LUIS DA SILVA SOUZA,32
JABOATÃO DOS GUARARAPES,14,KELMON LUIS DA SILVA SOUZA,225
ANGRA DOS REIS,14,KELMON LUIS DA SILVA SOUZA,84
ITURAMA,14,KELMON LUIS DA SILVA SOUZA,4
SANTANA DO IPANEMA,14,KELMON LUIS DA SILVA SOUZA,22
ITINGA,14,KELMON LUIS DA SILVA SOUZA,8
PONTES E LACERDA,14,KELMON LUIS DA SILVA SOUZA,57
BENEDITINOS,14,KELMON LUIS DA SILVA SOUZA,5
EUCLIDES DA CUNHA,14,KELMON LUIS DA SILVA SOUZA,16
MARECHAL CÂNDIDO RONDON,14,KELMON LUIS DA SILVA SOUZA,17
BARÃO DE MELGAÇO,14,KELMON LUIS DA SILVA SOUZA,8
CASTELO,14,KELMON LUIS DA SILVA SOUZA,29
SÃO JOSÉ DA VITÓRIA,14,KELMON LUIS DA SILVA SOUZA,3
JARAGUÁ DO SUL,14,KELMON LUIS DA SILVA SOUZA,70
BURITICUPU,14,KELMON LUIS DA SILVA SOUZA,23
MIRACATU,14,KELMON LUIS DA SILVA SOUZA,6
SÃO JOÃO DEL REI,14,KELMON LUIS DA SILVA SOUZA,42
CASTANHAL,14,KELMON LUIS DA SILVA SOUZA,82
ARACI,14,KELMON LUIS DA SILVA SOUZA,24
CACONDE,14,KELMON LUIS DA SILVA SOUZA,6
TRÊS COROAS,14,KELMON LUIS DA SILVA SOUZA,8
VARGEM GRANDE,14,KELMON LUIS DA SILVA SOUZA,39
LAGOA DO MATO,14,KELMON LUIS DA SILVA SOUZA,16
OSVALDO CRUZ,14,KELMON LUIS DA SILVA SOUZA,15
BOCA DO ACRE,14,KELMON LUIS DA SILVA SOUZA,9
BOM JESUS DE GOIÁS,14,KELMON LUIS DA SILVA SOUZA,4
DUQUE BACELAR,14,KELMON LUIS DA SILVA SOUZA,13
CAXIAS DO SUL,14,KELMON LUIS DA SILVA SOUZA,197
MONTE AZUL,14,KELMON LUIS DA SILVA SOUZA,5
TERRA NOVA DO NORTE,14,KELMON LUIS DA SILVA SOUZA,5
REDENÇÃO,14,KELMON LUIS DA SILVA SOUZA,36
SÃO SEBASTIÃO DA BOA VISTA,14,KELMON LUIS DA SILVA SOUZA,17
BENTO GONÇALVES,14,KELMON LUIS DA SILVA SOUZA,48
TAVARES,14,KELMON LUIS DA SILVA SOUZA,8
OURÉM,14,KELMON LUIS DA SILVA SOUZA,9
CRUZEIRO,14,KELMON LUIS DA SILVA SOUZA,35
ESPLANADA,14,KELMON LUIS DA SILVA SOUZA,10
CURIONÓPOLIS,14,KELMON LUIS DA SILVA SOUZA,5
FORMOSA DO SUL,14,KELMON LUIS DA SILVA SOUZA,5
ITAPEVA,14,KELMON LUIS DA SILVA SOUZA,45
CONCEIÇÃO DO COITÉ,14,KELMON LUIS DA SILVA SOUZA,24
PIRANGA,14,KELMON LUIS DA SILVA SOUZA,11
