NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
RIBEIRÃO DAS NEVES,15,SIMONE NASSAR TEBET,6600
MARECHAL CÂNDIDO RONDON,15,SIMONE NASSAR TEBET,856
CHAVAL,15,SIMONE NASSAR TEBET,50
CAMPINA GRANDE,15,SIMONE NASSAR TEBET,8327
CAMPINAS,15,SIMONE NASSAR TEBET,39165
ITAPETININGA,15,SIMONE NASSAR TEBET,5155
DIONÍSIO CERQUEIRA,15,SIMONE NASSAR TEBET,178
SÃO CARLOS,15,SIMONE NASSAR TEBET,9950
VOTUPORANGA,15,SIMONE NASSAR TEBET,2636
BRAÚNA,15,SIMONE NASSAR TEBET,104
GAÚCHA DO NORTE,15,SIMONE NASSAR TEBET,60
JOAÇABA,15,SIMONE NASSAR TEBET,906
CHAPECÓ,15,SIMONE NASSAR TEBET,4270
ABADIA DOS DOURADOS,15,SIMONE NASSAR TEBET,136
RITÁPOLIS,15,SIMONE NASSAR TEBET,187
COLOMBO,6447,SIMONE NASSAR TEBET,6447
CURAÇÁ,15,SIMONE NASSAR TEBET,228
UNIÃO DA VITÓRIA,15,SIMONE NASSAR TEBET,1454
QUIXERAMOBIM,15,SIMONE NASSAR TEBET,218
TOLEDO,15,SIMONE NASSAR TEBET,3247
BAÍA DA TRAIÇÃO,15,SIMONE NASSAR TEBET,107
ARICANDUVA,15,SIMONE NASSAR TEBET,79
LONDRINA,15,SIMONE NASSAR TEBET,18615
AMERICANA,15,SIMONE NASSAR TEBET,7282
ITABUNA,15,SIMONE NASSAR TEBET,5003
PALMEIRA DAS MISSÕES,15,SIMONE NASSAR TEBET,461
JUIZ DE FORA,15,SIMONE NASSAR TEBET,13447
ALAGOINHAS,15,SIMONE NASSAR TEBET,2620
CARAMBEÍ,15,SIMONE NASSAR TEBET,707
CAAPORÃ,15,SIMONE NASSAR TEBET,281
MOCOCA,15,SIMONE NASSAR TEBET,2149
MONTE ALTO,15,SIMONE NASSAR TEBET,1543
NOVA EUROPA,15,SIMONE NASSAR TEBET,303
GUARUJÁ,15,SIMONE NASSAR TEBET,9860
SOROCABA,15,SIMONE NASSAR TEBET,22609
QUATRO BARRAS,15,SIMONE NASSAR TEBET,669
BELFORD ROXO,15,SIMONE NASSAR TEBET,6896
COREAÚ,15,SIMONE NASSAR TEBET,110
PIRACICABA,15,SIMONE NASSAR TEBET,11567
CORUMBÁ,15,SIMONE NASSAR TEBET,2968
ITAMARANDIBA,15,SIMONE NASSAR TEBET,526
SIDROLÂNDIA,15,SIMONE NASSAR TEBET,995
LIMOEIRO DE ANADIA,15,SIMONE NASSAR TEBET,206
CACHOEIRINHA,15,SIMONE NASSAR TEBET,4054
JOÃO PESSOA,15,SIMONE NASSAR TEBET,15761
QUEIMADAS,15,SIMONE NASSAR TEBET,734
CAMAÇARI,15,SIMONE NASSAR TEBET,4095
TEJUÇUOCA,15,SIMONE NASSAR TEBET,96
MOGEIRO,15,SIMONE NASSAR TEBET,158
UBERABA,15,SIMONE NASSAR TEBET,8781
BOTUCATU,15,SIMONE NASSAR TEBET,5690
AMAMBAI,15,SIMONE NASSAR TEBET,686
DOIS RIACHOS,15,SIMONE NASSAR TEBET,248
OLINDA,15,SIMONE NASSAR TEBET,6216
RUSSAS,15,SIMONE NASSAR TEBET,399
MAUÁ,15,SIMONE NASSAR TEBET,14201
PASTOS BONS,15,SIMONE NASSAR TEBET,106
ESTEIO,15,SIMONE NASSAR TEBET,2524
FARROUPILHA,15,SIMONE NASSAR TEBET,2072
UMBAÚBA,15,SIMONE NASSAR TEBET,372
JUCÁS,15,SIMONE NASSAR TEBET,114
PORTO ALEGRE,15,SIMONE NASSAR TEBET,45455
MASSAPÊ,15,SIMONE NASSAR TEBET,193
ANADIA,15,SIMONE NASSAR TEBET,274
FEIJÓ,15,SIMONE NASSAR TEBET,635
SUMIDOURO,15,SIMONE NASSAR TEBET,281
NOVA IGUAÇU,15,SIMONE NASSAR TEBET,14379
OSASCO,15,SIMONE NASSAR TEBET,30725
BARRA DE SÃO MIGUEL,15,SIMONE NASSAR TEBET,259
COQUEIRO SECO,15,SIMONE NASSAR TEBET,177
ROLIM DE MOURA,15,SIMONE NASSAR TEBET,840
FERRAZ DE VASCONCELOS,15,SIMONE NASSAR TEBET,5632
SÃO GONÇALO,15,SIMONE NASSAR TEBET,16593
UNAÍ,15,SIMONE NASSAR TEBET,1908
CRUZEIRO DO SUL,15,SIMONE NASSAR TEBET,2341
PARAGOMINAS,15,SIMONE NASSAR TEBET,1658
PRAIA GRANDE,15,SIMONE NASSAR TEBET,10350
ITIÚBA,15,SIMONE NASSAR TEBET,327
SÃO LOURENÇO,15,SIMONE NASSAR TEBET,1195
MAURITI,15,SIMONE NASSAR TEBET,212
SANTO ANTÔNIO DA PATRULHA,15,SIMONE NASSAR TEBET,1350
PASSIRA,15,SIMONE NASSAR TEBET,159
MARACANAÚ,15,SIMONE NASSAR TEBET,2011
LINS,15,SIMONE NASSAR TEBET,1873
TACARATU,15,SIMONE NASSAR TEBET,114
TIMBAÚBA,15,SIMONE NASSAR TEBET,570
ITAMONTE,15,SIMONE NASSAR TEBET,386
BENJAMIN CONSTANT,15,SIMONE NASSAR TEBET,363
SIMÃO DIAS,15,SIMONE NASSAR TEBET,544
PATOS DE MINAS,15,SIMONE NASSAR TEBET,4257
BRUSQUE,15,SIMONE NASSAR TEBET,2512
JABOATÃO DOS GUARARAPES,15,SIMONE NASSAR TEBET,8467
PONTA DE PEDRAS,15,SIMONE NASSAR TEBET,748
MORRO DO PILAR,15,SIMONE NASSAR TEBET,74
PEDRA DO INDAIÁ,15,SIMONE NASSAR TEBET,136
NAZÁRIO,15,SIMONE NASSAR TEBET,235
ITUTINGA,15,SIMONE NASSAR TEBET,107
NOVA TIMBOTEUA,15,SIMONE NASSAR TEBET,374
IMPERATRIZ,15,SIMONE NASSAR TEBET,4488
SANTA MARIA DO TOCANTINS,15,SIMONE NASSAR TEBET,51
GOIATINS,15,SIMONE NASSAR TEBET,155
VITÓRIA DA CONQUISTA,15,SIMONE NASSAR TEBET,7629
LINHARES,3304,SIMONE NASSAR TEBET,3304
MAJOR GERCINO,15,SIMONE NASSAR TEBET,107
PONTA GROSSA,15,SIMONE NASSAR TEBET,12782
BARRA DE SÃO FRANCISCO,15,SIMONE NASSAR TEBET,596
NOVO HAMBURGO,15,SIMONE NASSAR TEBET,5905
GUARAPUAVA,15,SIMONE NASSAR TEBET,4195
PITIMBU,15,SIMONE NASSAR TEBET,157
RIO GRANDE,15,SIMONE NASSAR TEBET,6124
TREMEDAL,15,SIMONE NASSAR TEBET,184
PORTO VELHO,15,SIMONE NASSAR TEBET,12243
APARECIDA DE GOIÂNIA,13071,SIMONE NASSAR TEBET,13071
ALTO PARAÍSO,15,SIMONE NASSAR TEBET,242
BELO JARDIM,15,SIMONE NASSAR TEBET,632
TAUÁ,15,SIMONE NASSAR TEBET,288
CANTAGALO,675,SIMONE NASSAR TEBET,675
CAMBUÍ,15,SIMONE NASSAR TEBET,918
SANTA LUZIA D OESTE,15,SIMONE NASSAR TEBET,182
NOVA PALMEIRA,15,SIMONE NASSAR TEBET,68
MOSSORÓ,15,SIMONE NASSAR TEBET,2442
IPABA,15,SIMONE NASSAR TEBET,198
VALPARAÍSO,15,SIMONE NASSAR TEBET,408
JUSSARA,15,SIMONE NASSAR TEBET,654
VIAMÃO,5517,SIMONE NASSAR TEBET,5517
COCOS,15,SIMONE NASSAR TEBET,102
CÍCERO DANTAS,15,SIMONE NASSAR TEBET,274
PIRACAIA,15,SIMONE NASSAR TEBET,1166
INHUMAS,15,SIMONE NASSAR TEBET,1578
CAMBÉ,15,SIMONE NASSAR TEBET,3003
SÃO JOÃO,15,SIMONE NASSAR TEBET,307
CORDEIRÓPOLIS,15,SIMONE NASSAR TEBET,765
ITAMBÉ,15,SIMONE NASSAR TEBET,755
GUAÍBA,15,SIMONE NASSAR TEBET,2624
PARAIPABA,15,SIMONE NASSAR TEBET,254
ESPIGÃO DO OESTE,15,SIMONE NASSAR TEBET,482
BETIM,15,SIMONE NASSAR TEBET,10318
CAMOCIM,15,SIMONE NASSAR TEBET,340
SONORA,15,SIMONE NASSAR TEBET,244
CANDEIAS,15,SIMONE NASSAR TEBET,1322
NOVA FLORESTA,15,SIMONE NASSAR TEBET,87
JAGUARUNA,15,SIMONE NASSAR TEBET,406
CORNÉLIO PROCÓPIO,15,SIMONE NASSAR TEBET,1331
BURITICUPU,15,SIMONE NASSAR TEBET,341
UBAÍRA,15,SIMONE NASSAR TEBET,225
CAUCAIA,15,SIMONE NASSAR TEBET,3030
BLUMENAU,15,SIMONE NASSAR TEBET,11154
CACULÉ,15,SIMONE NASSAR TEBET,267
CONTAGEM,15,SIMONE NASSAR TEBET,18028
BREJO DO CRUZ,15,SIMONE NASSAR TEBET,102
ITAGUAÇU DA BAHIA,15,SIMONE NASSAR TEBET,64
CARIACICA,15,SIMONE NASSAR TEBET,8153
BARRA DO GARÇAS,15,SIMONE NASSAR TEBET,1066
GOVERNADOR VALADARES,15,SIMONE NASSAR TEBET,4452
OURO VERDE DE GOIÁS,15,SIMONE NASSAR TEBET,176
SALINÓPOLIS,1131,SIMONE NASSAR TEBET,1131
CAMPO DO BRITO,15,SIMONE NASSAR TEBET,248
ESPERANÇA,15,SIMONE NASSAR TEBET,465
CAMPOS LINDOS,15,SIMONE NASSAR TEBET,108
SANTO ANTÔNIO DO SUDOESTE,15,SIMONE NASSAR TEBET,277
MARABÁ,15,SIMONE NASSAR TEBET,4306
BOCAIÚVA,15,SIMONE NASSAR TEBET,615
ENCRUZILHADA,15,SIMONE NASSAR TEBET,261
IVAÍ,15,SIMONE NASSAR TEBET,340
PILÃO ARCADO,15,SIMONE NASSAR TEBET,240
CASCAVEL,15,SIMONE NASSAR TEBET,8421
JANUÁRIA,15,SIMONE NASSAR TEBET,700
ITAPEVI,15,SIMONE NASSAR TEBET,6875
RETIROLÂNDIA,15,SIMONE NASSAR TEBET,159
COCAL,15,SIMONE NASSAR TEBET,218
