NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
BARRA BONITA,12,CIRO FERREIRA GOMES,626
MAR DE ESPANHA,12,CIRO FERREIRA GOMES,188
RIBEIRÃO CASCALHEIRA,12,CIRO FERREIRA GOMES,69
CAMPO LARGO,12,CIRO FERREIRA GOMES,1953
CASTANHAL,12,CIRO FERREIRA GOMES,3658
TACAIMBÓ,12,CIRO FERREIRA GOMES,267
PELOTAS,12,CIRO FERREIRA GOMES,7136
MESQUITA,12,CIRO FERREIRA GOMES,2910
MIGUEL PEREIRA,12,CIRO FERREIRA GOMES,494
CURITIBA,12,CIRO FERREIRA GOMES,45827
ARAPIRACA,12,CIRO FERREIRA GOMES,3897
ÁGUA PRETA,12,CIRO FERREIRA GOMES,255
JUIZ DE FORA,12,CIRO FERREIRA GOMES,10347
CARPINA,12,CIRO FERREIRA GOMES,990
COMODORO,12,CIRO FERREIRA GOMES,132
ORIXIMINÁ,12,CIRO FERREIRA GOMES,773
BOA VISTA DO RAMOS,12,CIRO FERREIRA GOMES,67
COCAL,12,CIRO FERREIRA GOMES,411
BLUMENAU,12,CIRO FERREIRA GOMES,4969
CRUCILÂNDIA,12,CIRO FERREIRA GOMES,93
IBIRAÇU,12,CIRO FERREIRA GOMES,153
NOVA ROMA,12,CIRO FERREIRA GOMES,45
CARAGUATATUBA,12,CIRO FERREIRA GOMES,2178
SÃO PAULO,12,CIRO FERREIRA GOMES,297973
MACEIÓ,12,CIRO FERREIRA GOMES,15549
SARANDI,12,CIRO FERREIRA GOMES,1981
NOVA VENEZA,12,CIRO FERREIRA GOMES,300
BELO HORIZONTE,12,CIRO FERREIRA GOMES,54904
SERRA,12,CIRO FERREIRA GOMES,8419
CALDEIRÃO GRANDE,12,CIRO FERREIRA GOMES,179
SANTA TERESA,12,CIRO FERREIRA GOMES,337
ARRAIAL,12,CIRO FERREIRA GOMES,81
VITÓRIA DE SANTO ANTÃO,12,CIRO FERREIRA GOMES,1807
BELÉM,28891,CIRO FERREIRA GOMES,28891
ANCHIETA,12,CIRO FERREIRA GOMES,384
TERESINA,12,CIRO FERREIRA GOMES,19831
JAGUARUANA,12,CIRO FERREIRA GOMES,1297
URUBICI,12,CIRO FERREIRA GOMES,72
ELDORADO DOS CARAJÁS,12,CIRO FERREIRA GOMES,267
BAURU,12,CIRO FERREIRA GOMES,6941
LAMARÃO,12,CIRO FERREIRA GOMES,84
IGUATU,12,CIRO FERREIRA GOMES,2329
ÁGUA BOA,12,CIRO FERREIRA GOMES,292
PARINTINS,12,CIRO FERREIRA GOMES,941
ARAPUTANGA,12,CIRO FERREIRA GOMES,150
BARRA MANSA,12,CIRO FERREIRA GOMES,2916
CAUCAIA,12,CIRO FERREIRA GOMES,12723
JUNDIAÍ,12,CIRO FERREIRA GOMES,9256
NOVO GAMA,12,CIRO FERREIRA GOMES,967
VIÇOSA,1720,CIRO FERREIRA GOMES,1720
LUIZ ALVES,12,CIRO FERREIRA GOMES,94
JARDIM,12,CIRO FERREIRA GOMES,952
VIDEIRA,12,CIRO FERREIRA GOMES,541
SÃO JOÃO DO ITAPERIÚ,12,CIRO FERREIRA GOMES,24
PRUDENTÓPOLIS,12,CIRO FERREIRA GOMES,674
NOVA VENÉCIA,12,CIRO FERREIRA GOMES,638
PARNAGUÁ,12,CIRO FERREIRA GOMES,78
ITAGUAÍ,12,CIRO FERREIRA GOMES,1878
CODÓ,12,CIRO FERREIRA GOMES,1678
FAZENDA RIO GRANDE,12,CIRO FERREIRA GOMES,1910
LIMEIRA,12,CIRO FERREIRA GOMES,4492
PEDRA,12,CIRO FERREIRA GOMES,277
GAMELEIRA,12,CIRO FERREIRA GOMES,220
ENCRUZILHADA DO SUL,12,CIRO FERREIRA GOMES,391
GIRAU DO PONCIANO,12,CIRO FERREIRA GOMES,454
IRITUIA,12,CIRO FERREIRA GOMES,563
MARCOS PARENTE,12,CIRO FERREIRA GOMES,94
MAIRIPORÃ,12,CIRO FERREIRA GOMES,1463
RIO NEGRINHO,12,CIRO FERREIRA GOMES,498
CAXIAS DO SUL,12,CIRO FERREIRA GOMES,8862
VIGIA,12,CIRO FERREIRA GOMES,555
SÃO JOSÉ,12,CIRO FERREIRA GOMES,4374
ERECHIM,12,CIRO FERREIRA GOMES,1310
SÃO SEBASTIÃO DA GRAMA,12,CIRO FERREIRA GOMES,127
MARACANAÚ,12,CIRO FERREIRA GOMES,9131
HUMBERTO DE CAMPOS,12,CIRO FERREIRA GOMES,303
LAGOA DA PRATA,12,CIRO FERREIRA GOMES,689
UBERLÂNDIA,12,CIRO FERREIRA GOMES,11028
ANDRADINA,12,CIRO FERREIRA GOMES,595
PORECATU,12,CIRO FERREIRA GOMES,177
CAMOCIM,12,CIRO FERREIRA GOMES,4053
TOLEDO,12,CIRO FERREIRA GOMES,2154
CERQUEIRA CÉSAR,12,CIRO FERREIRA GOMES,279
PORCIÚNCULA,12,CIRO FERREIRA GOMES,268
MARACÁS,12,CIRO FERREIRA GOMES,326
BONFIM DO PIAUÍ,12,CIRO FERREIRA GOMES,64
MARATÁ,12,CIRO FERREIRA GOMES,48
ITAMBARACÁ,12,CIRO FERREIRA GOMES,46
SIRINHAÉM,12,CIRO FERREIRA GOMES,378
ALTO ALEGRE DO PINDARÉ,12,CIRO FERREIRA GOMES,311
PINHEIROS,12,CIRO FERREIRA GOMES,272
MUQUI,12,CIRO FERREIRA GOMES,167
SÃO MATEUS,12,CIRO FERREIRA GOMES,1631
LIMOEIRO DE ANADIA,12,CIRO FERREIRA GOMES,330
PALMEIRA DOS ÍNDIOS,12,CIRO FERREIRA GOMES,1014
QUITERIANÓPOLIS,12,CIRO FERREIRA GOMES,660
IGARAPÉ DO MEIO,12,CIRO FERREIRA GOMES,197
MORADA NOVA,12,CIRO FERREIRA GOMES,2910
ANANINDEUA,12,CIRO FERREIRA GOMES,9697
