NM_MUNICIPIO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS
OLINDA,27,JOSE MARIA EYMAEL,20
GUAXUPÉ,27,JOSE MARIA EYMAEL,8
TREMEMBÉ,27,JOSE MARIA EYMAEL,1
SÃO JOSÉ,27,JOSE MARIA EYMAEL,23
SANTA INÊS,27,JOSE MARIA EYMAEL,9
TANGUÁ,27,JOSE MARIA EYMAEL,3
SANTO ANTÔNIO DA PLATINA,27,JOSE MARIA EYMAEL,1
JACAREÍ,27,JOSE MARIA EYMAEL,34
MONTE AZUL PAULISTA,27,JOSE MARIA EYMAEL,3
ALTINÓPOLIS,27,JOSE MARIA EYMAEL,3
RONDINHA,27,JOSE MARIA EYMAEL,3
NAZARÉ,27,JOSE MARIA EYMAEL,3
CAMPINAS,27,JOSE MARIA EYMAEL,103
MINEIROS,27,JOSE MARIA EYMAEL,5
SANTA BÁRBARA D OESTE,27,JOSE MARIA EYMAEL,21
SANTA RITA DO NOVO DESTINO,27,JOSE MARIA EYMAEL,1
BELÉM,27,JOSE MARIA EYMAEL,106
SANTA HELENA,27,JOSE MARIA EYMAEL,1
GOIÂNIA,27,JOSE MARIA EYMAEL,114
SUMARÉ,27,JOSE MARIA EYMAEL,20
BARUERI,27,JOSE MARIA EYMAEL,48
CANOINHAS,27,JOSE MARIA EYMAEL,6
POUSO ALEGRE,27,JOSE MARIA EYMAEL,13
CABO FRIO,27,JOSE MARIA EYMAEL,28
SABARÁ,27,JOSE MARIA EYMAEL,13
MELGAÇO,27,JOSE MARIA EYMAEL,1
CARAPEBUS,27,JOSE MARIA EYMAEL,3
OSASCO,27,JOSE MARIA EYMAEL,113
ITAQUAQUECETUBA,27,JOSE MARIA EYMAEL,52
VÁRZEA PAULISTA,27,JOSE MARIA EYMAEL,15
CAMPESTRE,27,JOSE MARIA EYMAEL,5
TRÊS MARIAS,27,JOSE MARIA EYMAEL,3
SÃO VICENTE,27,JOSE MARIA EYMAEL,56
FERRAZ DE VASCONCELOS,27,JOSE MARIA EYMAEL,17
CAPIM GROSSO,27,JOSE MARIA EYMAEL,1
